gene_id,gene_idx
ENSG00000147256,975
ENSG00000147799,976
ENSG00000124143,977
ENSG00000165895,978
ENSG00000006740,979
ENSG00000180448,980
ENSG00000141522,981
ENSG00000111348,982
ENSG00000242173,983
ENSG00000076928,984
ENSG00000116584,985
ENSG00000163947,986
ENSG00000136002,987
ENSG00000050327,988
ENSG00000129675,989
ENSG00000102606,990
ENSG00000131089,991
ENSG00000104728,992
ENSG00000074964,993
ENSG00000132694,994
ENSG00000196914,995
ENSG00000198844,996
ENSG00000130762,997
ENSG00000110237,998
ENSG00000104880,999
ENSG00000142632,1000
ENSG00000240771,1001
ENSG00000114790,1002
ENSG00000214944,1003
ENSG00000214694,1004
ENSG00000213214,1005
ENSG00000183111,1006
ENSG00000236699,1007
ENSG00000137135,1008
ENSG00000165801,1009
ENSG00000117713,1010
ENSG00000049618,1011
ENSG00000189079,1012
ENSG00000116017,1013
ENSG00000179361,1014
ENSG00000205143,1015
ENSG00000032219,1016
ENSG00000054267,1017
ENSG00000196843,1018
ENSG00000150347,1019
ENSG00000166233,1020
ENSG00000177479,1021
ENSG00000141622,1022
ENSG00000152242,1023
ENSG00000120805,1024
ENSG00000213465,1025
ENSG00000102931,1026
ENSG00000138175,1027
ENSG00000122644,1028
ENSG00000188042,1029
ENSG00000175906,1030
ENSG00000162980,1031
ENSG00000165997,1032
ENSG00000141748,1033
ENSG00000113966,1034
ENSG00000170540,1035
ENSG00000182196,1036
ENSG00000144746,1037
ENSG00000177917,1038
ENSG00000143862,1039
ENSG00000134108,1040
ENSG00000196503,1041
ENSG00000175414,1042
ENSG00000152213,1043
ENSG00000174225,1044
ENSG00000169379,1045
ENSG00000179674,1046
ENSG00000152219,1047
ENSG00000268223,1048
ENSG00000185305,1049
ENSG00000214087,1050
ENSG00000185829,1051
ENSG00000228696,1052
ENSG00000104442,1053
ENSG00000118690,1054
ENSG00000165309,1055
ENSG00000140691,1056
ENSG00000105676,1057
ENSG00000125449,1058
ENSG00000114098,1059
ENSG00000135931,1060
ENSG00000170632,1061
ENSG00000157343,1062
ENSG00000126947,1063
ENSG00000184867,1064
ENSG00000102401,1065
ENSG00000196440,1066
ENSG00000125962,1067
ENSG00000198960,1068
ENSG00000198520,1069
ENSG00000260286,1070
ENSG00000120029,1071
ENSG00000139971,1072
ENSG00000254636,1073
ENSG00000146476,1074
ENSG00000143437,1075
ENSG00000172379,1076
ENSG00000241685,1077
ENSG00000130429,1078
ENSG00000163466,1079
ENSG00000111229,1080
ENSG00000241553,1081
ENSG00000162704,1082
ENSG00000136950,1083
ENSG00000242498,1084
ENSG00000128989,1085
ENSG00000172995,1086
ENSG00000120500,1087
ENSG00000137486,1088
ENSG00000141480,1089
ENSG00000197070,1090
ENSG00000105643,1091
ENSG00000113369,1092
ENSG00000140450,1093
ENSG00000205784,1094
ENSG00000100299,1095
ENSG00000113273,1096
ENSG00000006756,1097
ENSG00000062096,1098
ENSG00000141337,1099
ENSG00000205667,1100
ENSG00000183876,1101
ENSG00000180801,1102
ENSG00000164291,1103
ENSG00000157399,1104
ENSG00000129744,1105
ENSG00000156219,1106
ENSG00000111339,1107
ENSG00000167311,1108
ENSG00000117407,1109
ENSG00000173409,1110
ENSG00000099889,1111
ENSG00000004848,1112
ENSG00000214435,1113
ENSG00000104763,1114
ENSG00000188611,1115
ENSG00000204147,1116
ENSG00000153317,1117
ENSG00000151693,1118
ENSG00000088280,1119
ENSG00000065802,1120
ENSG00000100628,1121
ENSG00000115239,1122
